READ SERR 1 2
@crab_ratio_SA70_d49.pco
!
1.54499996 4.99999523E-3 0.994209707 6.49275491E-4
1.55499995 4.99999523E-3 0.992770076 6.53345603E-4
1.56500006 5.00005484E-3 0.991848409 6.57628581E-4
1.57500005 4.99999523E-3 0.991755664 6.62078732E-4
1.58500004 4.99999523E-3 0.991673112 6.66352629E-4
1.59500003 4.99999523E-3 0.991347909 6.7026366E-4
1.60500002 4.99999523E-3 0.992421865 6.74336567E-4
1.61500001 4.99999523E-3 0.995146453 6.78652956E-4
1.625 4.99999523E-3 0.997101665 6.82438898E-4
1.63499999 4.99999523E-3 0.998400867 6.85788284E-4
1.64499998 4.99999523E-3 0.99880445 6.8865699E-4
1.65499997 4.99999523E-3 1.00256205 6.92583038E-4
1.66499996 4.99999523E-3 1.00445235 6.95735624E-4
1.67499995 4.99999523E-3 1.00673735 6.98860036E-4
1.68499994 5.00005484E-3 1.00900507 7.01754412E-4
1.69500005 4.99999523E-3 1.00879145 7.03404483E-4
1.70500004 4.99999523E-3 1.00962818 7.04972656E-4
1.71500003 4.99999523E-3 1.00685036 7.04821374E-4
1.72500002 4.99999523E-3 1.00486779 7.04570091E-4
1.73500001 4.99999523E-3 1.00071597 7.03362108E-4
1.745 4.99999523E-3 0.996473372 7.0224714E-4
1.755 4.99999523E-3 0.993399024 7.02009536E-4
1.76499999 4.99999523E-3 0.987649262 7.0163206E-4
1.77499998 4.99999523E-3 0.987338543 7.04312813E-4
1.78499997 4.99999523E-3 0.988542736 7.08870532E-4
1.79499996 4.99999523E-3 0.986667216 7.1380561E-4
1.80499995 4.99999523E-3 0.988630652 7.21665449E-4
1.81500006 5.00005484E-3 0.989548028 7.30563537E-4
1.82500005 4.99999523E-3 0.990226388 7.40646734E-4
1.83500004 4.99999523E-3 0.991481543 7.51853513E-4
1.84500003 4.99999523E-3 0.995490015 7.64645811E-4
